CODIGO,ENTIDAD,NOMBRE FANTASIA,DIRECCION,COMUNA,HORARIO REFERENCIAL,ESTE,NORTE,LONGITUD,LATITUD
284,Walmart,ACUENTA QUINTA NORMAL,MAPOCHO 5041,QUINTA NORMAL,Lun-Dom 09:00 a 21:00,341579,6299959,-70.7046108333333,-33.4283406666667
285,Walmart,ACUENTA CARRASCAL,AV. CARRASCAL 6003,QUINTA NORMAL,Lun-Dom 09:00 a 21:00,340892,6301333,-70.7117466666667,-33.415845
286,Walmart,ACUENTA RENCA PETERSEN,AV. VICUNA MACKENNA 998,RENCA,Lun-Dom 09:00 a 21:00,337658,6302018,-70.74639418,-33.40919017
287,Walmart,ACUENTA QUILICURA AV. MATTA,AV. MANUEL ANTONIO MATTA 1336,QUILICURA,Lun-Dom 09:00 a 21:00,340459,6306691,-70.71489527921082,-33.36719203612535
288,Walmart,ACUENTA RENCA JAIME GUZMAN,AV. CAUPOLICAN 1520,RENCA,Lun-Dom 09:00 a 21:00,341740,6302854,-70.70236322,-33.40226617
289,Walmart,ACUENTA CONCHALI SANTA INES,AV. SANTA INES 2189,CONCHALI,Lun-Dom 09:00 a 21:00,344062,6303481,-70.6773008333334,-33.3969508333333
290,Walmart,ACUENTA CONCHALI,AV. PRINCIPAL 1385,CONCHALI,Lun-Dom 09:00 a 21:00,345148,6305378,-70.66473591238972,-33.379718111700704
291,Walmart,ACUENTA VIVACETA,AV. SAN FERMIN VIVACETA 827,SANTIAGO,Lun-Dom 09:00 a 21:00,345452,6300591,-70.6622793342328,-33.4228078756101
292,Walmart,ACUENTA RECOLETA NORTE,AV. RECOLETA 5252,RECOLETA,Lun-Dom 09:00 a 21:00,347607,6305542,-70.6388490700764,-33.3788795688539
293,Walmart,ACUENTA LAMPA,AV. BAQUEDANO 862,LAMPA,Lun-Dom 09:00 a 21:00,325068,6315773,-70.8790592698801,-33.2832073418454
294,Walmart,ACUENTA EYZAGUIRRE ORIENTE,AV. EYZAGUIRRE 1951,PUENTE ALTO,Lun-Dom 09:00 a 21:00,351838,6279420,-70.597701,-33.614985
296,Walmart,ACUENTA DOMINGO TOCORNAL,AV. DOMINGO TOCORNAL 369,PUENTE ALTO,Lun-Dom 09:00 a 21:00,353253,6280702,-70.5822406168285,-33.603626844196
297,Walmart,ACUENTA CERRO NAVIA,HUELEN 1984,CERRO NAVIA,Lun-Dom 09:00 a 21:00,338049,6301334,-70.7423110238356,-33.4154158055936
299,Walmart,ACUENTA LOS MORROS,AV. PADRE HURTADO 13310,SAN BERNARDO,Lun-Dom 09:00 a 21:00,344441,6282856,-70.676805,-33.58295
300,Walmart,ACUENTA GABRIELA,AV. GABRIELA PONIENTE 03960,PUENTE ALTO,Lun-Dom 09:00 a 21:00,351013,6283032,-70.6059885,-33.58230976
301,Walmart,ACUENTA EL BOSQUE,AV. LO MARTINEZ 919 EX 645,EL BOSQUE,Lun-Dom 09:00 a 21:00,345441,6283987,-70.665832,-33.572894
302,Walmart,ACUENTA ORIENTALES,AV. TOBALABA 10831,PEÑALOLEN,Lun-Dom 09:00 a 21:00,355707,6295598,-70.55338847,-33.46965175
303,Walmart,ACUENTA LA FLORIDA SOTERO DEL RIO,AV. SOTERO DEL RIO 831,LA FLORIDA,Lun-Dom 09:00 a 21:00,351270,6287826,-70.602409,-33.539120
304,Walmart,ACUENTA LO OVALLE,AV. LO OVALLE 2356,LO ESPEJO,Lun-Dom 09:00 a 21:00,344153,6291084,-70.67790256742315,-33.508441724194
306,Walmart,ACUENTA LA GRANJA,AV. SOFIA CARMONA 301,LA GRANJA,Lun-Dom 09:00 a 21:00,349050,6285832,-70.626652037037,-33.5567838888889
307,Walmart,ACUENTA BUIN,ERRAZURIZ 230,BUIN,Lun-Dom 09:00 a 21:00,338855,6266229,-70.7399912266777,-33.7320234573693
308,Walmart,ACUENTA SAN BERNARDO EUCALIPTUS,AV. EUCALIPTUS 81,SAN BERNARDO,Lun-Dom 09:00 a 21:00,342023,6279905,-70.70280734095891,-33.608921172408756
309,Walmart,ACUENTA PAINE,AV. DIECIOCHO DE SEPTIEMBRE 311,PAINE,Lun-Dom 09:00 a 21:00,339211,6257754,-70.7371097441192,-33.8080739085468
310,Walmart,ACUENTA RINCONADA,CAMINO RINCONADA 2515,MAIPU,Lun-Dom 09:00 a 21:00,333757,6291241,-70.78975468122334,-33.5054677263014
311,Walmart,ACUENTA ISLA DE MAIPO,AV. MANUEL RODRIGUEZ 684,ISLA DE MAIPO,Lun-Dom 09:00 a 21:00,323965,6263767,-70.900562,-33.751563
312,Walmart,LIDER EXPRESS RECOLETA & EINSTEIN,AV. RECOLETA 2302,RECOLETA,Lun-Dom 09:00 a 21:00,347241,6302559,-70.6432800734353,-33.4057145086571
313,Walmart,EKONO VICUÑA MACKENNA & TRINIDAD,AV. VICUNA MACKENNA 9840,LA FLORIDA,Lun-Dom 09:00 a 21:00,352617,6286976,-70.5880525296785,-33.5469704357368
314,Walmart,LIDER EXPRESS ELIODORO YAÑEZ,AV. ELIODORO YANEZ 1371,PROVIDENCIA,Lun-Dom 09:00 a 21:00,349700,6299518,-70.61679506830598,-33.433201925186005
